Name,Age,Nationality,Overall,Position,Value,Preferred Foot,Height,Weight,Position_Type
C. Lines,32,England,66,CM,475,Right,74,174,Midfield
M. Sollbauer,28,Austria,66,RCB,600,Right,74,190,Defense
R. Jansson,26,Sweden,66,LCB,675,Left,74,192,Defense
A. Guido,24,United States,66,CM,900,Right,70,170,Midfield
I. González,26,Mexico,66,RB,625,Right,70,165,Defense
H. Al Hazaa,26,Saudi Arabia,66,ST,775,Right,69,141,Attack
F. Castillón,32,Argentina,66,RM,500,Right,68,157,Midfield
W. Harding,21,England,66,RB,850,Right,71,174,Defense
G. Tansey,29,England,66,CDM,500,Right,73,172,Midfield
H. Ojamaa,27,Estonia,66,LF,675,Right,69,165,Attack
M. Ríos,34,Chile,66,RM,325,Right,68,150,Midfield
M. Tévez,21,Argentina,66,RW,1.1,Right,67,152,Attack
E. Sosa,22,Venezuela,66,CAM,950,Right,67,165,Midfield
T. Lapslie,22,England,66,LDM,825,Right,66,152,Midfield
M. Sauer,24,Germany,66,RB,725,Right,70,154,Defense
R. Descamps,22,France,66,GK,700,Left,76,174,Defense
J. Álvarez,22,Argentina,66,LM,950,Right,69,157,Midfield
A. Ludwig,25,Denmark,66,LCB,775,Left,72,187,Defense
C. Dunne,25,Republic of Ireland,66,LCB,650,Left,74,190,Defense
L. Rodríguez,24,Argentina,66,LB,725,Left,66,157,Defense
J. Gómez,22,Colombia,66,CB,975,Right,72,172,Defense
J. Aribo,21,England,66,LCM,1.1,Left,72,168,Midfield
Gabriel,20,Brazil,66,CB,975,Left,75,192,Defense
C. Machado,28,Bolivia,66,CDM,575,Right,68,154,Midfield
L. Kruse,34,Germany,66,GK,260,Right,73,185,Defense
S. McConville,29,England,66,LM,625,Right,71,163,Midfield
D. Drocco,29,Argentina,66,CM,625,Right,66,154,Midfield
A. Sušac,29,Croatia,66,RCB,500,Right,73,176,Defense
M. Perlak,32,Austria,66,CAM,500,Right,67,132,Midfield
B. Clarke,30,Republic of Ireland,66,ST,625,Left,67,141,Attack
Eduardo,25,Brazil,66,CB,625,Left,72,185,Defense
K. Dawson,28,Republic of Ireland,66,RM,650,Right,70,176,Midfield
H. McGahey,22,England,66,RCB,825,Right,74,187,Defense
Gu Chao,28,China PR,66,GK,550,Right,76,190,Defense
R. Caballero,27,Paraguay,66,ST,675,Left,72,176,Attack
Ever Rodeiro,34,Brazil,66,CAM,325,Right,68,157,Midfield
C. Cercado,29,Mexico,66,CB,500,Left,67,150,Defense
H. Al Raheb,34,Saudi Arabia,66,ST,350,Right,66,139,Attack
C. Schuler,30,United States,66,CB,475,Left,76,205,Defense
S. Mantom,26,England,66,RDM,775,Right,69,154,Midfield
O. Bouy,25,Netherlands,66,LCB,750,Left,71,174,Defense
J. Dongou Tsafack,23,Cameroon,66,ST,925,Right,69,154,Attack
P. Mainka,23,Germany,66,RCB,725,Right,76,190,Defense
A. Kantari,33,Morocco,66,LCB,260,Left,73,172,Defense
T. Mavromatis,21,Greece,66,LCB,825,Left,73,170,Defense
Li Lei,26,China PR,66,LB,625,Left,72,146,Defense
Raphael Doninho,30,Brazil,66,CAM,600,Right,66,141,Midfield
K. Bülow,32,Germany,66,LDM,375,Right,74,179,Midfield
R. Magyar,27,Sweden,66,LCB,600,Right,76,187,Defense
F. Brillant,33,France,66,RCB,260,Right,74,181,Defense
K. Tamada,38,Japan,66,RF,220,Left,68,148,Attack
M. Ballmert,24,Germany,66,RB,675,Right,68,150,Defense
M. Laínez,22,Mexico,66,RM,875,Left,67,146,Midfield
K. Mayi,25,France,66,ST,850,Right,72,172,Attack
N. Manfredini,30,Italy,66,GK,425,Right,75,176,Defense
K. Koizumi,23,Japan,66,RB,750,Right,68,152,Defense
C. Aneke,24,England,66,ST,875,Right,75,183,Attack
Juan Cruz,25,Spain,66,LB,625,Left,71,154,Defense
S. Olivarez,26,Argentina,66,CB,675,Left,71,181,Defense
P. Gladon,26,Netherlands,66,ST,775,Right,74,183,Attack
E. Aydoğan,21,Turkey,66,CM,1.4,Left,72,170,Midfield
V. Pule,26,South Africa,66,LW,750,Left,67,141,Attack
Daniel Fuzato,20,Brazil,66,GK,800,Right,75,194,Defense
D. de Vries,37,Netherlands,66,GK,40,Right,75,212,Defense
A. Lithgow,30,Scotland,66,LCB,475,Right,73,187,Defense
L. Nicholls,25,England,66,GK,625,Right,75,187,Defense
R. Teibert,25,Canada,66,CDM,700,Left,68,146,Midfield
M. Figueroa,28,Argentina,66,ST,675,Right,67,159,Attack
A. Nübel,21,Germany,66,GK,925,Right,76,190,Defense
Z. Al Sahafi,24,Saudi Arabia,66,CB,700,Right,74,161,Defense
J. Schouten,21,Netherlands,66,RDM,900,Right,73,159,Midfield
R. Rep,28,Slovenia,66,CAM,650,Left,70,159,Midfield
M. Rubin,30,Italy,66,LB,475,Left,72,165,Defense
L. Guldan,35,Slovakia,66,LCB,150,Right,72,181,Defense
C. Telo,28,Sweden,66,LB,500,Right,68,159,Defense
M. Pearson,24,England,66,RCB,700,Right,75,159,Defense
Ricardo Alves,27,Portugal,66,CB,650,Right,72,172,Defense
T. Paredes,25,Paraguay,66,CB,725,Right,72,183,Defense
Kauã Reisende,26,Brazil,66,CAM,700,Right,72,165,Midfield
L. Madrigal,25,Mexico,66,ST,850,Right,75,198,Attack
Augusto César,25,Brazil,66,CAM,775,Right,70,152,Midfield
D. Holm,32,Norway,66,RDM,475,Left,71,174,Midfield
Y. Akimoto,30,Japan,66,GK,425,Right,72,185,Defense
J. Beckford,34,Jamaica,66,ST,350,Right,74,183,Attack
N. Crovetto,32,Chile,66,LB,350,Left,69,154,Defense
Y. Maruyama,29,Japan,66,CB,500,Left,72,168,Defense
B. Jatta,20,Gambia,66,LM,1.1,Right,72,174,Midfield
G. Merebashvili,31,Georgia,66,LM,575,Right,70,165,Midfield
D. Vaughan,35,Wales,66,CDM,150,Left,66,154,Midfield
T. Mauricio,24,France,66,RM,875,Left,67,148,Midfield
K. Dougall,25,Australia,66,CDM,650,Right,72,174,Midfield
D. Arreola,32,Mexico,66,LCB,375,Left,71,159,Defense
J. Cousins,24,England,66,CM,775,Right,70,159,Midfield
J. Duma,24,Argentina,66,RW,800,Right,69,163,Attack
T. Spurr,30,England,66,LB,475,Left,73,159,Defense
J. Martínez,23,Peru,66,ST,950,Right,71,159,Attack
C. Schoppenhauer,26,Germany,66,CB,650,Right,73,170,Defense
L. Roberts,23,England,66,GK,650,Left,76,181,Defense
M. Pellegrini,18,Argentina,66,LM,1.3,Left,69,152,Midfield
C. Schwegler,34,Switzerland,66,RB,180,Right,69,163,Defense
K. Petersen,33,Denmark,66,CB,260,Right,74,183,Defense
J. Vet,24,Netherlands,66,CDM,675,Right,75,187,Midfield
H. Kawano,28,Japan,66,RM,650,Left,66,143,Midfield
F. Stokkers,22,Netherlands,66,ST,875,Right,73,174,Attack
G. Gómez,22,Argentina,66,GK,750,Right,75,218,Defense
M. Lund,27,Northern Ireland,66,LCM,650,Right,72,168,Midfield
M. Jankowski,28,Poland,66,ST,650,Right,71,150,Attack
A. Maisonnial,20,France,66,GK,1,Right,74,163,Defense
M. Lugo,28,Paraguay,66,RCM,650,Left,70,161,Midfield
D. Niwa,32,Japan,66,CB,375,Right,71,159,Defense
C. Riegler,26,Austria,66,GK,550,Right,73,183,Defense
R. Lundqvist,21,Sweden,66,CAM,1,Right,70,163,Midfield
S. Muniru,25,Ghana,66,CDM,725,Right,70,161,Midfield
Zhang Lu,30,China PR,66,GK,425,Right,76,187,Defense
J. Reeves,25,England,66,CM,850,Right,67,154,Midfield
E. Ward,33,England,66,LCB,260,Right,73,183,Defense
J. Tamm,26,Estonia,66,LCB,675,Left,76,214,Defense
M. Heylen,24,Belgium,66,RCB,700,Right,74,181,Defense
G. Gallon,25,France,66,GK,600,Right,73,174,Defense
T. Adarabioyo,20,England,66,CB,925,Right,77,176,Defense
L. Martin,31,England,66,LM,575,Right,71,176,Midfield
F. Ferrari,22,Italy,66,ST,875,Right,75,176,Attack
Trujillo,30,Spain,66,CB,475,Right,70,174,Defense
Kim Yong Dae,38,Korea Republic,66,GK,40,Right,74,179,Defense
E. Babayan,22,Armenia,66,LM,875,Right,71,161,Midfield
Diogo Santos,33,Portugal,66,CDM,260,Right,75,185,Midfield
T. Borevković,21,Croatia,66,RCB,875,Right,76,190,Defense
J. Jacobson,31,Wales,66,LB,425,Left,71,174,Defense
Benja,30,Spain,66,ST,625,Right,74,183,Attack
D. Phillips,23,England,66,GK,750,Right,74,168,Defense
G. Aburjania,23,Georgia,66,CDM,775,Right,73,172,Midfield
J. Riley,21,England,66,RB,850,Right,72,157,Defense
A. Matějů,22,Czech Republic,66,RB,750,Right,72,174,Defense
Filipe Brigues,27,Portugal,66,RB,525,Right,70,159,Defense
J. Zelený,25,Czech Republic,66,LB,675,Left,75,179,Defense
S. Svendsen,20,Norway,66,ST,1,Right,68,148,Attack
J. Moreno,21,Colombia,66,CB,975,Left,74,172,Defense
R. Bushiri,18,Belgium,66,CB,1.2,Right,74,201,Defense
H. Rivero,25,Argentina,66,ST,825,Right,76,187,Attack
M. Grella,31,United States,66,LM,575,Right,71,181,Midfield
I. Lanni,28,Italy,66,GK,525,Right,73,168,Defense
A. Sané,25,Senegal,66,ST,825,Right,72,161,Attack
F. Castillo,28,Colombia,66,LB,500,Left,69,154,Defense
M. Galmarini,36,Argentina,66,RM,70,Right,71,170,Midfield
A. Monfray,27,France,66,RB,525,Right,73,168,Defense
B. Castillo,40,Colombia,66,GK,40,Right,73,190,Defense
S. Diop,18,France,66,CAM,1.5,Right,65,121,Midfield
Yin Hongbo,28,China PR,66,RM,650,Left,71,165,Midfield
A. Hainault,32,Canada,66,LCB,375,Right,72,176,Defense
D. Čotra,33,Serbia,66,LB,250,Left,72,179,Defense
C. Washington,26,Northern Ireland,66,ST,825,Right,70,187,Attack
F. Nimani,29,France,66,ST,650,Left,75,192,Attack
M. Macey,23,England,66,GK,700,Right,78,179,Defense
M. Doyle,36,Republic of Ireland,66,LDM,90,Left,70,157,Midfield
D. Raum,20,Germany,66,LM,1.1,Left,71,165,Midfield
V. Retamal,20,Chile,66,RB,825,Right,67,137,Defense
A. Cruz,20,Mexico,66,LB,975,Left,68,137,Defense
M. Bruscagin,28,Italy,66,CB,525,Right,72,154,Defense
C. Morris,22,England,66,ST,950,Right,73,187,Attack
A. Syhre,23,Germany,66,CB,750,Right,74,183,Defense
L. Paz,29,Colombia,66,CDM,500,Right,69,154,Midfield
L. Dos Santos,25,France,66,LB,675,Right,70,154,Defense
A. Akinfenwa,36,England,66,LS,230,Right,70,243,Attack
Jin Jingdao,26,China PR,66,RM,750,Right,67,146,Midfield
F. Bonazzoli,21,Italy,66,RS,975,Left,72,170,Attack
B. Tetteh,20,Ghana,66,LS,1.1,Right,76,203,Attack
J. Grot,20,Netherlands,66,LW,1,Right,76,216,Attack
G. Notsuda,24,Japan,66,RF,850,Left,69,157,Attack
D. Jones,21,United States,66,CDM,975,Left,76,165,Midfield
N. Hansen,23,Denmark,66,RM,850,Right,70,170,Midfield
T. Beltran,30,United States,66,RB,475,Right,68,150,Defense
D. Peitz,33,Germany,66,CDM,260,Left,77,201,Midfield
D. Starkl,24,Austria,66,LM,825,Right,69,154,Midfield
D. Erdmann,27,Germany,66,CB,550,Right,74,190,Defense
J. Vela,25,Colombia,66,CAM,800,Left,69,152,Midfield
A. Jakobsen,24,Egypt,66,CM,900,Right,71,161,Midfield
J. Segura,21,Colombia,66,CB,1.1,Right,74,176,Defense
R. Miller,33,Costa Rica,66,CB,260,Left,74,165,Defense
U. Cardona,19,Mexico,66,LM,1,Left,70,148,Midfield
J. Karacan,29,Turkey,66,CM,625,Right,69,148,Midfield
L. Saldaña,28,Colombia,66,LB,500,Left,67,146,Defense
G. Roberts,34,England,66,LM,325,Left,70,163,Midfield
K. Bennett,27,England,66,LM,675,Right,65,134,Midfield
C. Tanner,23,England,66,RM,825,Left,69,146,Midfield
S. Ernst,23,Germany,66,LDM,900,Left,70,150,Midfield
B. Akintola,22,Nigeria,66,RM,950,Right,70,152,Midfield
A. Taylor,31,England,66,LB,425,Left,70,152,Defense
K. Yonekura,30,Japan,66,RB,475,Right,69,150,Defense
Rúben Vinagre,19,Portugal,66,LWB,1.2,Left,69,141,Defense
M. Drudi,31,Italy,66,RCB,425,Right,72,176,Defense
K. Ilsø,31,Denmark,66,RCM,575,Right,72,170,Midfield
V. Moren,27,Finland,66,LCB,625,Right,74,168,Defense
Lucas,21,Brazil,66,CB,925,Right,73,170,Defense
J. Norwood,27,England,66,RS,675,Right,69,161,Attack
P. Frick,26,Sweden,66,CF,775,Right,72,179,Attack
I. Ssewankambo,22,Sweden,66,RB,750,Right,70,176,Defense
T. Skarke,21,Germany,66,RM,925,Right,70,157,Midfield
Luis Marleiro,26,Brazil,66,ST,700,Left,70,170,Attack
M. Pulkrab,21,Czech Republic,66,ST,975,Right,73,181,Attack
L. Brown,27,England,66,LB,525,Left,72,174,Defense
R. Gaddis,28,United States,66,LB,500,Right,69,150,Defense
Lee Yeong Jae,23,Korea Republic,66,RCM,900,Left,69,132,Midfield
F. Sakala,21,Zambia,66,LAM,1,Right,70,159,Midfield
Park Jun Tae,28,Korea Republic,66,ST,675,Left,68,139,Attack
N. Saint-Ruf,25,France,66,CB,700,Right,74,187,Defense
A. Lienhart,32,Austria,66,RB,350,Right,72,172,Defense
M. Sema,29,Sweden,66,RW,625,Right,68,150,Attack
M. Bennett,21,England,66,ST,1.1,Right,70,141,Attack
N. Hasler,27,Liechtenstein,66,RB,675,Right,69,172,Defense
Q. Moll,27,Germany,66,LCM,600,Right,72,170,Midfield
M. Woods,32,Scotland,66,LDM,475,Left,71,172,Midfield
D. Templeton,29,Scotland,66,LM,625,Right,69,139,Midfield
Lim Sang Hyub,29,Korea Republic,66,LW,625,Left,71,161,Attack
M. Rivero,28,Argentina,66,CDM,525,Right,69,159,Midfield
S. Yamamoto,33,Japan,66,LB,250,Right,71,152,Defense
J. Biada,25,Germany,66,RS,800,Right,70,168,Attack
M. Torres,20,Argentina,66,ST,1.1,Right,71,154,Attack
R. Janicki,25,Poland,66,RCB,575,Right,74,174,Defense
D. Mahmudov,28,FYR Macedonia,66,RM,650,Right,67,137,Midfield
Aitor,31,Spain,66,RB,425,Right,71,161,Defense
A. Vukotić,22,Serbia,66,RCB,750,Left,80,209,Defense
M. Marshall,31,Jamaica,66,RM,575,Left,67,152,Midfield
N. Mohammed,24,Ghana,66,RW,875,Right,68,154,Attack
J. Walsh,26,Wales,66,RCB,725,Left,71,154,Defense
T. Bergmann,21,Germany,66,CDM,875,Right,71,165,Midfield
Jony Ñíguez,33,Spain,66,CDM,260,Right,69,159,Midfield
P. Carlgren,26,Sweden,66,GK,575,Right,74,185,Defense
J. Rossiter,21,England,66,CDM,1,Right,70,141,Midfield
S. Sy,22,Senegal,66,GK,700,Right,76,176,Defense
R. Nagaki,30,Japan,66,RCM,475,Right,68,159,Midfield
M. Al Shalhoub,37,Saudi Arabia,66,CAM,220,Left,64,146,Midfield
A. Le Tallec,33,France,66,ST,400,Right,72,161,Attack
D. Vidošić,31,Australia,66,LW,575,Right,72,163,Attack
C. Guerra,23,Chile,66,GK,625,Right,72,183,Defense
M. Koné,21,Senegal,66,ST,975,Right,69,154,Attack
Isidoro,31,Spain,66,RB,425,Right,71,157,Defense
O. Halvorsen,30,Norway,66,RM,600,Right,70,165,Midfield
F. Ciampichetti,30,Argentina,66,ST,625,Right,73,187,Attack
Li Ang,24,China PR,66,LCB,725,Right,74,194,Defense
P. Kurzweg,24,Germany,66,LB,700,Left,71,170,Defense
Cho Won Hee,35,Korea Republic,66,LCM,150,Right,70,159,Midfield
J. Drolè,20,Ivory Coast,66,RM,1.2,Right,73,154,Midfield
C. Itten,21,Switzerland,66,ST,1.3,Right,74,179,Attack
R. Guitane,19,France,66,CAM,1.4,Left,65,132,Midfield
J. Ojala,29,Finland,66,CB,575,Right,75,187,Defense
J. Abarca,29,Chile,66,RB,500,Right,69,172,Defense
M. González,24,Argentina,66,CDM,775,Right,71,163,Midfield
E. Ómarsson,23,Iceland,66,ST,850,Right,72,161,Attack
T. Hasegawa,24,Japan,66,CAM,850,Right,65,128,Midfield
A. Diawusie,20,Germany,66,RM,1.1,Right,71,165,Midfield
I. Khalili,31,Palestine,66,RM,575,Left,72,165,Midfield
J. Żubrowski,26,Poland,66,LDM,725,Right,71,161,Midfield
M. Štěch,28,Czech Republic,66,GK,450,Right,75,196,Defense
O. Benítez,27,Argentina,66,CB,625,Left,73,174,Defense
A. Buksa,21,Poland,66,ST,900,Right,75,174,Attack
K. Tokura,32,Japan,66,ST,525,Left,74,176,Attack
C. Madu,24,Nigeria,66,CDM,675,Right,73,176,Midfield
T. van de Pavert,26,Netherlands,66,CB,650,Left,76,187,Defense
W. Keane,25,England,66,ST,825,Right,74,159,Attack
S. Branca,26,Italy,66,CM,775,Right,71,163,Midfield
N. Antonitsch,26,Austria,66,LCB,675,Right,73,179,Defense
T. Umesaki,31,Japan,66,LW,575,Right,67,150,Attack
A. Nakamura,27,Japan,66,RM,675,Right,69,148,Midfield
N. Thompson,27,England,66,RB,525,Right,68,157,Defense
A. Kolev,25,Bulgaria,66,ST,800,Right,75,179,Attack
G. Bijl,22,Netherlands,66,RCM,750,Right,71,168,Midfield
C. Gunter,28,Wales,66,RB,500,Right,71,157,Defense
A. Marin,28,France,66,CB,575,Right,74,172,Defense
J. Gatt,26,United States,66,ST,700,Right,70,161,Attack
D. Miloc,27,Argentina,66,CM,600,Right,70,163,Midfield
M. Wostry,25,Austria,66,CB,700,Right,72,163,Defense
K. Moriya,29,Japan,66,CDM,500,Right,68,143,Midfield
A. Sigurðarson,24,Iceland,66,LW,825,Right,70,154,Attack
D. Lowe,25,Jamaica,66,CB,750,Right,75,176,Defense
Milton Raphael,27,Brazil,66,GK,575,Right,74,179,Defense
B. Blume,26,Denmark,66,CAM,775,Right,70,161,Midfield
Jordi Quintillà,24,Spain,66,CDM,825,Left,70,154,Midfield
C. Doucouré,18,Mali,66,LDM,1.2,Right,71,161,Midfield
Andrés Prieto,24,Spain,66,GK,650,Right,76,205,Defense
Isaac Carcelén,25,Spain,66,RM,675,Right,70,165,Midfield
Y. Nakano,25,Japan,66,LM,775,Right,69,146,Midfield
L. Schwechlen,29,France,66,LB,500,Left,72,172,Defense
Jonatan Lucca,24,Brazil,66,LCM,725,Right,73,168,Midfield
L. Hufnagel,24,Georgia,66,LDM,850,Right,72,161,Midfield
J. Rothwell,23,England,66,LM,950,Right,73,170,Midfield
J. Rodríguez,22,Colombia,66,ST,1,Right,70,157,Attack
A. Claude Maurice,20,France,66,LW,1.2,Right,69,137,Attack
R. Taylor,30,England,66,ST,625,Left,74,150,Attack
M. Mešanović,27,Bosnia Herzegovina,66,ST,675,Right,70,165,Attack
G. Plet,30,Netherlands,66,ST,625,Right,76,185,Attack
B. Dickenson,25,England,66,LM,775,Left,72,179,Midfield
T. Takagi,27,Japan,66,LM,675,Right,67,141,Midfield
D. Thopola,28,South Africa,66,RB,500,Right,70,159,Defense
J. Juelsgård,29,Denmark,66,LCB,500,Left,72,179,Defense
A. Traoré,23,Mali,66,LW,875,Left,70,154,Attack
G. Sandoval,34,Chile,66,LDM,200,Right,67,150,Midfield
S. Mpontshane,32,South Africa,66,GK,375,Left,72,174,Defense
C. McCann,30,Republic of Ireland,66,LB,475,Left,73,165,Defense
O. Bozanic,29,Australia,66,CM,625,Left,70,165,Midfield
L. Lezzerini,23,Italy,66,GK,700,Right,77,190,Defense
M. Yaghoubi,23,Finland,66,LM,825,Right,70,185,Midfield
Joni Montiel,19,Spain,66,CAM,1,Left,68,148,Midfield
D. Gorter,30,Netherlands,66,CM,600,Left,69,154,Midfield
T. Mears,35,England,66,RB,140,Right,71,163,Defense
S. Diakité,29,Mali,66,CM,625,Right,73,176,Midfield
R. Mulumba,25,DR Congo,66,CDM,700,Right,71,168,Midfield
M. Høibråten,23,Norway,66,LCB,850,Left,72,170,Defense
M. Lackner,27,Austria,66,CDM,650,Right,76,165,Midfield
M. Domínguez,18,Mexico,66,LM,925,Left,63,128,Midfield
O. Käuper,21,Germany,66,CM,1,Left,74,170,Midfield
A. Al Salem,25,Saudi Arabia,66,CAM,775,Right,72,163,Midfield
R. Vanegas,25,Colombia,66,LM,800,Right,69,159,Midfield
Pablo Larrea,24,Spain,66,CDM,775,Right,69,143,Midfield
L. Craig,31,Scotland,66,LCM,550,Left,72,181,Midfield
D. Gomis,25,France,66,LM,775,Right,68,150,Midfield
N. Blackman,28,England,66,RM,650,Left,73,163,Midfield
F. Kaufmann,25,Germany,66,RM,775,Right,71,159,Midfield
J. Ginnelly,21,England,66,LM,950,Right,68,143,Midfield
L. Nmecha,19,England,66,ST,1.4,Right,73,154,Attack
I. Alhassan,21,Nigeria,66,CDM,775,Right,74,159,Midfield
L. Crecco,22,Italy,66,CM,925,Left,72,168,Midfield
D. Charles,30,England,66,CB,475,Left,73,187,Defense
Cris Salvador,23,Spain,66,CM,875,Right,72,170,Midfield
R. Benson,26,Republic of Ireland,66,LCM,775,Left,69,170,Midfield
R. Riski,28,Finland,66,RW,650,Right,69,150,Attack
K. Hafez,22,Egypt,66,LB,750,Left,69,161,Defense
C. Harriott,24,England,66,LM,875,Left,65,146,Midfield
T. Belmonte,20,Argentina,66,RCM,1.4,Right,70,150,Midfield
B. Eleke,22,Nigeria,66,ST,1,Right,75,194,Attack
O. Beckles,26,England,66,LB,625,Right,75,172,Defense
Park Jin Po,30,Korea Republic,66,RB,600,Left,68,159,Defense
T. Naylor,27,England,66,RCM,625,Right,74,159,Midfield
G. Kiltie,21,Scotland,66,LM,1,Right,68,154,Midfield
R. Shirasaki,25,Japan,66,LCM,775,Right,71,154,Midfield
T. Charles,33,Argentina,66,CB,260,Left,72,174,Defense
A. Falatah,34,Saudi Arabia,66,LB,180,Left,69,154,Defense
I. Tarasovs,29,Latvia,66,RDM,500,Right,75,187,Midfield
P. Stolarski,22,Poland,66,RB,850,Right,71,163,Defense
M. Odjer,21,Ghana,66,CM,1,Right,67,152,Midfield
B. Niňaj,24,Slovakia,66,RCB,725,Right,75,187,Defense
Crysan,21,Brazil,66,LM,1,Left,75,181,Midfield
O. Eddahri,27,Sweden,66,CF,675,Right,73,170,Attack
J. Obika,27,England,66,ST,675,Left,72,168,Attack
T. Zhamaletdinov,21,Russia,66,ST,1.1,Right,72,161,Attack
K. Mets,25,Estonia,66,CB,675,Left,75,176,Defense
M. Coulibaly,19,Senegal,66,CM,1.4,Right,72,170,Midfield
D. Mayor,27,England,66,LCM,675,Right,72,168,Midfield
H. Pell,26,England,66,RDM,750,Right,76,187,Midfield
S. McQueen,23,England,66,LB,750,Left,71,154,Defense
L. Michel,38,Mexico,66,GK,40,Right,72,163,Defense
C. Lykogiannis,24,Greece,66,LB,725,Left,73,172,Defense
S. Hertner,27,Germany,66,LB,600,Left,71,165,Defense
Arturo Molina,22,Spain,66,CAM,950,Right,72,165,Midfield
C. Warner,30,United States,66,CDM,475,Right,70,176,Midfield
V. Prodell,30,Sweden,66,ST,625,Right,75,190,Attack
T. Renault,34,France,66,GK,260,Right,72,176,Defense
A. Muyl,22,United States,66,RM,950,Right,71,174,Midfield
E. Apeh,21,Nigeria,66,ST,1.1,Right,71,154,Attack
Alex Pozo,19,Spain,66,LM,975,Right,68,137,Midfield
D. Kikuchi,27,Japan,66,LM,675,Right,68,150,Midfield
R. Austin,33,Jamaica,66,RCB,260,Right,71,172,Defense
M. Machaj,29,Poland,66,CAM,625,Right,69,148,Midfield
H. Radetinac,32,Serbia,66,LW,500,Right,74,161,Attack
M. Mikić,38,Croatia,66,RM,220,Right,70,150,Midfield
M. Guevgeozián,32,Armenia,66,ST,525,Right,72,174,Attack
I. Lapshov,19,Russia,66,CB,975,Right,74,168,Defense
E. Fejzullahu,30,Kosovo,66,ST,625,Right,71,176,Attack
J. Ekstrand,29,Sweden,66,CB,500,Right,74,170,Defense
G. Rolando,23,Italy,66,RM,1,Right,72,157,Midfield
R. Inniss,23,England,66,CB,775,Right,77,185,Defense
T. Yamashita,30,Japan,66,LCB,475,Right,72,161,Defense
X. Emmers,18,Belgium,66,CM,1.1,Right,70,159,Midfield
L. Morgan,21,Scotland,66,LM,1.1,Right,70,165,Midfield
W. Kvist,33,Denmark,66,CM,375,Right,72,176,Midfield
B. Jayiya,28,South Africa,66,RW,650,Right,69,143,Attack
J. Huyghebaert,29,Belgium,66,LB,475,Left,71,163,Defense
José Ángel,26,Spain,66,CM,775,Left,72,163,Midfield
Y. Hurtado,21,Colombia,66,RB,900,Right,67,148,Defense
J. González,26,Mexico,66,LB,625,Left,67,174,Defense
R. Söder,27,Sweden,66,ST,675,Right,70,157,Attack
Choi Bo Kyung,30,Korea Republic,66,LCB,475,Left,72,174,Defense
A. Hadouir,35,Netherlands,66,CAM,280,Right,68,150,Midfield
He Chao,23,China PR,66,LCM,725,Right,70,170,Midfield
M. Booysen,29,South Africa,66,CB,500,Right,76,172,Defense
C. Main,26,England,66,RS,800,Right,72,190,Attack
J. Grimmer,24,Scotland,66,RB,750,Right,72,183,Defense
A. Kann,27,United States,66,GK,550,Left,76,190,Defense
M. Lepe,27,Chile,66,RDM,650,Right,70,170,Midfield
J. Bandowski,24,Germany,66,LB,700,Left,75,179,Defense
Nelson Ferreira,36,Portugal,66,LM,220,Right,69,159,Midfield
A. Matuszczyk,29,Poland,66,RDM,500,Right,72,161,Midfield
D. Stahl,29,Germany,66,RDM,500,Right,72,174,Midfield
Yun Il Lok,26,Korea Republic,66,LM,750,Right,70,143,Midfield
R. McLaughlin,23,Northern Ireland,66,RM,875,Right,69,152,Midfield
P. Joosten,22,Netherlands,66,ST,900,Right,71,146,Attack
G. Magnani,22,Italy,66,CB,900,Left,75,192,Defense
F. Bong,30,Cameroon,66,RCB,475,Right,74,201,Defense
M. Restrepo,37,Colombia,66,CDM,90,Right,69,154,Midfield
T. Akindele,26,Canada,66,ST,775,Right,73,174,Attack
R. van der Meer,23,Netherlands,66,LB,700,Left,77,190,Defense
R. Gartler,32,Austria,66,ST,525,Right,72,172,Attack
C. Lobos,21,Chile,66,CDM,925,Right,68,154,Midfield
R. Cierzniak,35,Poland,66,GK,150,Right,74,179,Defense
M. Abdellaoue,29,Norway,66,ST,650,Right,71,163,Attack
L. Novak,29,England,66,ST,650,Right,72,172,Attack
Jung Seung Yong,27,Korea Republic,66,LB,600,Left,72,183,Defense
L. Gugganig,23,Austria,66,RDM,775,Right,75,183,Midfield
A. Donnarumma,27,Italy,66,GK,500,Right,76,212,Defense
P. Steinhart,25,Germany,66,LM,675,Left,72,154,Midfield
Olavide,22,Spain,66,RM,950,Left,70,154,Midfield
C. Jakobsen,25,Denmark,66,LM,800,Right,74,185,Midfield
Berrocal,18,Spain,66,CB,1.2,Right,72,159,Defense
R. Amaral,21,Uruguay,66,CAM,1.2,Left,70,183,Midfield
Abdón,25,Spain,66,ST,875,Left,71,174,Attack
A. Al Mayoof,31,Saudi Arabia,66,GK,400,Right,74,212,Defense
A. Paleari,25,Italy,66,GK,625,Right,76,194,Defense
José Lara,18,Spain,66,RM,1.3,Left,66,132,Midfield
A. Juel Andersen,27,Denmark,66,RB,600,Right,74,185,Defense
G. Vadalá,21,Argentina,66,CAM,1,Right,66,143,Midfield
Borja Sánchez,22,Spain,66,CAM,1.1,Right,74,174,Midfield
A. Ogogo,28,England,66,CM,650,Right,70,172,Midfield
D. Pratley,33,England,66,RCM,375,Right,73,152,Midfield
K. Takayama,29,Japan,66,CF,650,Right,69,148,Attack
S. Bakış,24,Turkey,66,RW,900,Right,74,176,Attack
Dani Martín,19,Spain,66,GK,875,Right,73,168,Defense
